District code,Male,Female,Literate,Total_Power_Parity,Housholds_with_Electric_Lighting,Households_with_Internet,Rural_Households,Urban_Households,State,District,Latitude,Longitude
204,2681209,2418162,2276957,4098,74979,7719,1142260,101565,Bihar,Purba Champaran,26.68129336734693,85.00382155612242
205,346673,309573,283698,489,10004,478,158484,7516,Bihar,Sheohar,26.458380748663107,85.29539411764709
206,1803252,1620322,1436794,2679,66263,3460,807294,49670,Bihar,Sitamarhi,26.56570069686413,85.61172491289203
207,2329313,2158066,2155338,3520,113281,5319,1047552,41234,Bihar,Madhubani,26.41380538172716,86.16328360450552
208,1155283,1073793,1033283,1836,51028,1845,572287,27815,Bihar,Supaul,26.28157893772896,86.78496465201461
209,1463333,1348236,1195768,2035,43290,2561,659061,44213,Bihar,Araria,26.211528119180603,87.30766554934816
210,866970,823430,745056,1347,58718,1093,401793,43357,Bihar,Kishanganj,26.324336758321294,87.95045007235886
211,1699370,1565249,1332326,2641,86058,4170,712847,85749,Bihar,Purnia,25.81714801901739,87.40447606973065
212,1600430,1470599,1280190,2516,60900,2941,668232,69838,Bihar,Katihar,25.56565356037151,87.70466083591326
213,1047559,954203,834577,1494,23236,1397,486278,24000,Bihar,Madhepura,25.77341929460581,86.8978443983403
214,997174,903487,804996,1582,41342,1668,432651,38046,Bihar,Saharsa,25.821270696721303,86.54670819672135
215,2059949,1877436,1816634,3514,127442,6280,907174,95539,Bihar,Darbhanga,26.146187719298258,85.97387352472099
216,2527497,2273565,2509232,4105,180651,10290,998694,120700,Bihar,Muzaffarpur,26.18664417177915,85.32745092024543
217,1267666,1294346,1382998,2370,69375,3707,515925,38133,Bihar,Gopalganj,26.44874364161851,84.34636127167629
218,1675090,1655374,1930175,3014,52935,3834,632514,41858,Bihar,Siwan,26.1736372013652,84.33766552901022
219,2022821,1929041,2157454,3667,94787,4509,701323,76299,Bihar,Saran,25.89656077844312,84.82266287425155
220,1844535,1650486,1926740,2930,70001,4810,699317,51494,Bihar,Vaishali,25.8134703180212,85.39247597173153
221,2230003,2031563,2142880,3500,88021,5379,1012979,43486,Bihar,Samastipur,25.793205563909765,85.94833323308269
222,1567660,1402881,1548673,2354,120373,4644,594377,139248,Bihar,Begusarai,25.54302613168723,86.12560144032932
223,883786,783100,768028,1254,40641,1580,373696,21007,Bihar,Khagaria,25.53558891454964,86.56593256351037
224,1615663,1422103,1573066,2814,174534,6764,522527,130634,Bihar,Bhagalpur,25.277192885375477,87.04213814229242
225,1067140,967623,965321,1738,62359,1704,425604,18492,Bihar,Banka,24.832355642023337,86.8664916342413
226,729041,638724,801817,1424,90461,2653,222281,85782,Bihar,Munger,25.198537962962963,86.54173672839504
227,526345,474567,507270,904,44491,1186,175882,31763,Bihar,Lakhisarai,25.183449321266963,86.12825701357468
228,329743,306599,328676,565,20065,631,108293,24345,Bihar,Sheikhpura,25.12472436548223,85.77839390862943
229,1497060,1380593,1519933,2578,101378,4156,514141,102522,Bihar,Nalanda,25.229345508982053,85.48053113772461
230,3078512,2759953,3459679,7065,546859,40692,657991,552103,Bihar,Patna,25.40297114503818,85.3198433587787
231,1430380,1298027,1599151,2600,62153,3661,434559,77368,Bihar,Bhojpur,25.50666439393939,84.49407803030304
232,887977,818375,989807,1556,46760,1784,299252,35405,Bihar,Buxar,25.48593018867924,84.08808081760995
234,1543546,1416372,1799832,1555,114893,4594,512383,95678,Bihar,Rohtas,24.99170460829495,83.9350762672811
235,1318684,1221389,1466002,2215,44456,2362,428291,49006,Bihar,Aurangabad,24.774291867469877,84.45986024096379
235,1318684,1221389,1466002,2215,44456,2362,428291,49006,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334
515,1924469,1776813,2503837,8119,589477,23258,551789,427343,Bihar,Aurangabad,24.774291867469877,84.45986024096379
515,1924469,1776813,2503837,8119,589477,23258,551789,427343,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334
236,2266566,2124852,2297613,3998,112617,6856,696289,111282,Bihar,Gaya,24.7266541547278,84.94291217765044
237,1144668,1074478,1091012,1924,31162,1841,379551,45323,Bihar,Nawada,24.825708836206903,85.61594568965519
238,916064,844341,858588,1516,32633,1839,325909,30851,Bihar,Jamui,24.78418380462726,86.26316298200514
239,585582,539731,618881,960,27641,1106,186660,28132,Bihar,Jehanabad,25.155679045643165,84.9208124481328
245,29151,20826,26073,348,8635,96,10730,2452,Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016
246,46155,37792,48492,348,14188,202,17889,6306,Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083
247,38775,39915,38449,348,5318,57,14503,5215,Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997
248,89182,87391,121048,644,30539,2477,20308,30180,Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264
249,41758,41690,45278,348,5373,139,14542,4672,Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318
250,58168,54106,64746,348,14204,303,22272,8503,Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908
251,50116,49098,62576,644,14231,450,19497,9524,Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191
252,18699,16621,18195,348,6198,97,8569,2182,Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124
253,76948,71278,73174,348,14593,170,33422,6498,Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106
254,57604,54371,47974,348,16026,98,18420,6500,Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862
255,41843,41187,54057,348,12493,381,18112,5365,Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112
256,45318,46758,36606,348,3911,95,18603,1092,Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834
258,28053,26027,31849,348,5932,207,12000,3950,Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142
259,76221,69505,83062,348,17157,312,33599,11372,Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945
261,131753,118507,119626,381,14398,178,43607,7415,Nagaland,Mon,26.69207374301676,95.03072988826828
262,101092,93530,159494,346,40154,537,37536,17742,Nagaland,Mokokchung,26.478911764705888,94.522426006192
263,71217,69540,102881,275,28846,261,31267,6044,Nagaland,Zunheboto,26.028178205128206,94.50026666666668
264,84505,81838,128208,359,25268,198,38499,8170,Nagaland,Wokha,26.202611551155112,94.1990815181518
265,197394,181417,278037,866,71413,3303,49116,62853,Nagaland,Dimapur,25.814176811594223,93.75074057971014
266,83743,79675,105893,219,36182,170,38903,7295,Nagaland,Phek,25.63272986577182,94.56814563758392
267,101933,94663,117511,228,24998,155,40690,9451,Nagaland,Tuensang,26.21104453280316,94.85809880715708
270,138966,129022,197489,677,50724,1928,31845,44255,Nagaland,Kohima,25.60311428571428,93.78600657596373
272,247323,231825,264477,823,22798,256,38008,1826,Manipur,Senapati,25.08465586034914,94.03366234413956
273,72371,68280,85006,90,11541,125,23982,4119,Manipur,Tamenglong,24.98312942238265,93.49450740072204
274,138820,135323,195935,327,29894,837,52972,4853,Manipur,Churachandpur,24.30309718875504,93.38671506024085
275,118782,118617,156333,226,34364,676,34977,21172,Manipur,Bishnupur,24.50712111801243,93.8246236024845
276,210845,211323,269304,539,49507,880,65961,38302,Manipur,Thoubal,24.545392553191498,93.97959893617023
279,94718,89280,129829,79,14026,276,36084,5806,Manipur,Ukhrul,25.05900314960629,94.44129566929138
280,74579,69603,90302,250,18764,184,30377,3783,Manipur,Chandel,24.2635812987013,94.09443844155844
281,44828,41536,60191,94,12158,90,16726,4129,Mizoram,Mamit,23.73852942502819,92.4330803833147
282,42918,41037,65895,142,14853,367,9669,12507,Mizoram,Kolasib,24.2020004347826,92.73470391304348
283,199270,201039,340595,963,79804,4019,20570,80341,Mizoram,Aizawl,23.90781335453101,92.85359459459472
284,63388,62357,100802,187,23948,186,18395,12717,Mizoram,Champhai,23.54166580976866,93.24221799485862
285,32851,32086,54476,118,12315,131,7472,8018,Mizoram,Serchhip,23.263864705882344,92.914158496732
286,82891,78537,121122,274,26394,482,21479,17315,Mizoram,Lunglei,23.007717036172675,92.63512555425892
287,60599,57295,62861,242,9283,162,21993,5273,Mizoram,Lawngtlai,22.36102843137253,92.66964156862753
288,28594,27980,42233,88,7400,168,7043,5784,Mizoram,Saiha,22.35744801061008,93.02827931034489
289,879428,846311,1361354,2817,314567,6394,289621,217016,Tripura,West Tripura,23.780166241299337,91.41310788863107
290,447544,428457,646810,1118,133744,948,219171,44906,Tripura,South Tripura,23.211874098057383,91.6065807585568
291,194544,183686,276217,455,46875,273,89457,14071,Tripura,Dhalai,23.781360477941163,91.94654283088232
292,352860,341087,520402,848,81601,997,150437,42184,Tripura,North Tripura,24.121739755351683,92.17842538226292
293,324159,319132,358702,791,51301,1630,139351,18594,Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942
294,161223,156694,192147,450,24550,288,62698,11518,Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916
